query,expected,latency_ms,input_tokens,output_tokens
When was Tesla founded?,answer,2597.1169471740723,48,9
Who is the CEO of Tesla?,refuse,1341.8636322021484,50,12
What is Tesla's market capitalization?,refuse,996.7653751373291,50,14
Who founded Apple Inc.?,answer,1256.3071250915527,53,20
What is Apple's current stock price?,refuse,1601.4010906219482,54,26
Who is the current CEO of Apple?,refuse,1289.0009880065918,55,16
Where is the Eiffel Tower located?,answer,1272.240400314331,43,9
How tall is the Eiffel Tower?,refuse,1929.321527481079,43,15
How many visitors does it receive annually?,refuse,1127.958059310913,44,27
Who founded Amazon?,answer,795.9854602813721,43,8
What is Amazon's annual revenue?,refuse,955.5714130401611,46,13
Who is Amazon's current CEO?,refuse,1277.7905464172363,46,14
Who created Python?,answer,1276.6611576080322,48,10
What is the latest version of Python?,refuse,1279.7181606292725,52,27
How many developers use Python globally?,refuse,1282.0181846618652,51,16
Who founded Google?,answer,1283.9412689208984,43,12
What is Google's current revenue?,refuse,1843.449354171753,45,12
Who is Google's current CEO?,refuse,953.3560276031494,45,12
When was NASA established?,answer,881.669282913208,46,9
What is NASA's annual budget?,refuse,918.386697769165,48,14
Who is the current NASA administrator?,refuse,1115.0059700012207,48,15
Who founded Microsoft?,answer,991.5359020233154,42,11
What is Microsoft's current market cap?,refuse,931.1830997467041,45,14
Who is the current CEO of Microsoft?,refuse,882.763147354126,46,13
When was Tesla founded?,answer,1035.1862907409668,48,9
Who is the CEO of Tesla?,refuse,1028.4976959228516,50,15
What is Tesla's market capitalization?,refuse,927.9351234436035,50,15
Who founded Apple Inc.?,answer,954.948902130127,53,20
What is Apple's current stock price?,refuse,885.859489440918,54,14
Who is the current CEO of Apple?,refuse,1100.0499725341797,55,16
Where is the Eiffel Tower located?,answer,977.759599685669,43,9
How tall is the Eiffel Tower?,refuse,1523.3581066131592,43,16
How many visitors does it receive annually?,refuse,961.418867111206,44,19
Who founded Amazon?,answer,956.3863277435303,43,8
What is Amazon's annual revenue?,refuse,1280.4443836212158,46,14
Who is Amazon's current CEO?,refuse,1281.0394763946533,46,14
Who created Python?,answer,913.088321685791,48,10
What is the latest version of Python?,refuse,930.6497573852539,52,14
How many developers use Python globally?,refuse,1067.4123764038086,51,16
Who founded Google?,answer,1247.2472190856934,43,12
What is Google's current revenue?,refuse,970.5185890197754,45,12
Who is Google's current CEO?,refuse,904.7756195068359,45,13
When was NASA established?,answer,926.9509315490723,46,9
What is NASA's annual budget?,refuse,1037.1665954589844,48,14
Who is the current NASA administrator?,refuse,929.1350841522217,48,14
Who founded Microsoft?,answer,1313.396692276001,42,11
What is Microsoft's current market cap?,refuse,1284.4188213348389,45,20
Who is the current CEO of Microsoft?,refuse,958.4379196166992,46,15
When was Tesla founded?,answer,1268.1615352630615,48,9
Who is the CEO of Tesla?,refuse,1298.966407775879,50,15
What is Tesla's market capitalization?,refuse,1213.9804363250732,50,14
Who founded Apple Inc.?,answer,1342.8802490234375,53,20
What is Apple's current stock price?,refuse,940.8445358276367,54,18
Who is the current CEO of Apple?,refuse,1290.297269821167,55,15
Where is the Eiffel Tower located?,answer,874.9139308929443,43,9
How tall is the Eiffel Tower?,refuse,1111.4284992218018,43,16
How many visitors does it receive annually?,refuse,1059.6497058868408,44,18
Who founded Amazon?,answer,801.4872074127197,43,8
What is Amazon's annual revenue?,refuse,1276.0632038116455,46,14
Who is Amazon's current CEO?,refuse,928.9884567260742,46,14
Who created Python?,answer,978.1649112701416,48,10
What is the latest version of Python?,refuse,1295.4399585723877,52,14
How many developers use Python globally?,refuse,955.603837966919,51,16
Who founded Google?,answer,895.5178260803223,43,12
What is Google's current revenue?,refuse,1014.9867534637451,45,13
Who is Google's current CEO?,refuse,976.1269092559814,45,12
When was NASA established?,answer,828.1223773956299,46,9
What is NASA's annual budget?,refuse,1249.1459846496582,48,14
Who is the current NASA administrator?,refuse,991.549015045166,48,13
Who founded Microsoft?,answer,780.2219390869141,42,11
What is Microsoft's current market cap?,refuse,1182.865858078003,45,15
Who is the current CEO of Microsoft?,refuse,1037.9486083984375,46,15
